City,City_Code,Country,City_Latitude,City_Longitude,City_Land_Area_km2,Demography,Coastal_City,City_Elevation_m,City_Coppen_Climate
Barcelona,BCN,Spain,41.38879,2.15899,101,1620809,TRUE,12,hot-summer_mediterranean_climate
Berlin,BER,Germany,52.524,13.41053,891,3711930,FALSE,34,oceanic_climate
Denver,DEN,USA,39.739,-104.9847,401,600158,FALSE,1600,cold_semi-arid_climate
Doha,DOH,Quatar,25.279,51.52244,132,1351000,TRUE,10,hot_desert_climate
Fairbanks,FAI,USA,64.838,-147.71638,82,51926,FALSE,136,subarctic_climate
Hong_Kong,HKG,China,22.286,114.1576,1108,7453230,TRUE,957,humid_subtropical_climate
Ilorin,ILR,Nigeria,8.497,4.54213,765,777667,FALSE,310,tropical_savanna_climate
Kyiv,IEV,Ukraine,50.455,30.5238,839,2900920,FALSE,179,warm-summer_humid_continental_climates
Kuala_Lumpur,KUL,Malaysia,3.141,101.68653,243,1790000,FALSE,66,tropical_rainforest_climate
Lisbon,LIS,Portugal,38.754,-9.23082,100,505526,TRUE,2,hot_dry-summer_mediterranean_climates
London,LCY,England,51.509,-0.12573,1572,8787892,FALSE,11,oceanic_climate
New_York,NYC,USA,40.714,-74.00597,783.84,8622698,TRUE,10,humid_subtropical_climate
Offa,OFF,Nigeria,8.157,4.72478,95,120000,FALSE,426,tropical_savanna_climate
San_Francisco,SFO,USA,37.775,-122.41942,121,884363,TRUE,16,hot_dry-summer_mediterranean_climates
Santiago,SCL,Chile,-33.457,-70.64826,641,6310000,FALSE,570,hot_dry-summer_mediterranean_climates
Sao_Paulo,SAO,Brazil,-23.548,-46.63611,1520,12106920,FALSE,760,oceanic_climate
Sendai,SDJ,Japan,38.258,140.8667,786,1086012,TRUE,1500,hot-summer_humid_continental_climates
Seoul,ICN,South_Korea,37.566,126.9783,605,9838892,FALSE,38,hot-summer_humid_continental_climates
Singapore,SGP,Singapore,1.29,103.85007,723.2,5791901,TRUE,163.63,humid_subtropical_climate
Stockholm,ARN,Sweden,59.333,18.064,188,960031,TRUE,29,oceanic_climate
Taipei,TPE,China,25.048,121.53185,1140,8500000,TRUE,1120,humid_subtropical_climate
Tokyo,TYO,Japan,35.69,139.69171,2188,13839910,TRUE,40,humid_subtropical_climate
Zurich,ZRH,Switzerland,47.377,8.541693,88,409241,TRUE,408,oceanic_climate

